mouse,session,cr_prob,ur_dur
13,1,1,1
13,2,0.818530129,0.718257646
13,3,1.25862069,0.591597158
13,3,1.327586207,0.509731233
13,5,1.189655172,0.524475524
15,1,1,1
15,2,0.977777778,0.622257679
15,3,1.2,0.428134557
15,3,1.285814116,0.624932542
15,5,1.104903786,0.512614679
17,1,1,1
17,2,0.931034483,0.34
17,3,0.952146376,0.708
17,3,0.887586207,0.5
17,5,0.785993601,0.546666667
22,1,1,1
22,2,0.877037037,0.624912034
22,3,0.912592593,0.81773399
22,3,0.865185185,0.464039409
22,5,0.82962963,0.458128079
21,1,1,1
21,2,1.283333333,0.509593679
21,3,1.363636364,0.489123743
21,3,1.37755102,NaN
21,5,1.3,0.331828442
31,1,1,1
31,2,0.837741935,0.652381943
31,3,0.98,0.611419458
31,3,0.537419355,0.691121744
31,5,0.750407299,0.883116883
32,1,1,1
32,2,0.935278713,1.004672897
32,3,0.785634119,0.763479511
32,3,0.716049383,0.481892523
32,5,0.87654321,0.762616822
33,1,1,1
33,2,0.943953488,0.807692308
33,3,0.690697674,0.912734324
33,3,0.679186047,0.803767661
33,5,0.506511628,0.989010989
34,1,1,1
34,2,0.981818182,0.868055556
34,3,1.290909091,0.903846154
34,3,1.230486685,0.993589744
34,5,1.101928375,1.330555556
